file :4 block_id:1 --> bbed : Data File Header
file :4 block_id:2 --> bbed :BBED-00400: invalid blocktype (29)
file :4 block_id:3 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:4 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:5 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:6 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:7 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:8 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:9 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:10 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:11 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:12 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:13 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:14 --> bbed :------------------------------------------------------------
file :4 block_id:15 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:16 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:17 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:18 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:19 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:20 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:21 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:22 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:23 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:24 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:25 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:26 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:27 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:28 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:29 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:30 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:31 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:32 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:33 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:34 --> bbed :BBED-00400: invalid blocktype (30)
file :4 block_id:35 --> bbed :BBED-00400: invalid blocktype (30)
